RA,DEC,z
258.02787,64.040384,0.15091
258.02928,64.05549,0.08279845
258.03354,64.097415,0.07967802
258.07722,64.008077,0.0809986
258.08067,64.035634,0.08268053
258.09657,64.032519,0.07981008
258.09994,64.059493,0.08627383
258.10986,64.082134,0.07948642
258.11782,64.031104,0.08687139
258.11967,64.109101,0.07412706
258.12006,64.060761,0.07343803
258.12711,64.016596,0.08224989
258.13222,63.997333,0.07837883
258.13376,64.038556,0.08280216
258.13516,64.002787,0.0849261
258.13856,64.071678,0.08442297
258.14202,64.097222,0.07617816
258.15028,64.085551,0.0827946
258.17109,64.07271,0.08358134
258.18179,64.053546,0.08562605
258.20851,64.052953,0.07399382
258.21347,64.073183,0.07390364
258.22681,63.992408,0.08291385
258.23101,64.029253,0.08105769
258.23112,64.032429,0.08127932
258.24041,64.051036,0.07399645
258.2555,64.048092,0.08250701
258.27283,64.091241,0.08216956
258.28084,64.083642,0.4574551
258.30379,64.028753,0.07704972
258.31944,64.055688,0.07462378
258.32931,64.076861,0.08112399
258.33324,64.056802,0.07682644
258.33535,64.009444,0.07988858
258.34049,64.069079,0.07623031
258.37128,64.046858,0.07844017
258.375,64.043936,-0.0001225879